family,sequence,arm,camera_active,effective_camera_stride,prompt22_raw_stride,repetitions,valid_repetitions,ate_rmse_m_mean,ate_rmse_m_std,ate_rmse_m_median,ate_rmse_m_min,ate_rmse_m_max,estimator_wall_s_mean,estimator_wall_s_std,estimator_wall_s_median,estimator_cpu_s_mean,estimator_cpu_s_std,estimator_cpu_s_median,offline_wall_s_mean,offline_wall_s_std,offline_wall_s_median,peak_rss_mib_mean,peak_rss_mib_std,peak_rss_mib_median,final_rss_mib_mean,final_rss_mib_std,final_rss_mib_median,peak_pss_mib_mean,peak_pss_mib_std,peak_pss_mib_median,final_pss_mib_mean,final_pss_mib_std,final_pss_mib_median,peak_uss_mib_mean,peak_uss_mib_std,peak_uss_mib_median,final_uss_mib_mean,final_uss_mib_std,final_uss_mib_median,visual_calls,visual_commits,backend_rejected,trajectory_rows,config_authority,config_sha256,shared_semantic_sha256,source_heads,run_ids,final_validity
NTU,eee_03,N-LIVO-STRIDE,true,1,1;1;1,3,3,0.03021359209666667,2.468115530203961e-05,0.030212569936,0.030183888023,0.030244318331,34.260877416666645,4.133708462719124,36.57150733599994,120.04807488999978,16.543094029066488,129.5636734909995,36.9672,4.110423098254808,39.2134,2222.5247395833335,1.865640521699343,2221.69140625,2222.5247395833335,1.865640521699343,2221.69140625,2203.2805989583335,1.6952874357106162,2203.9345703125,2203.2805989583335,1.6952874357106162,2203.9345703125,2201.2174479166665,2.117308415725103,2202.484375,2201.2174479166665,2.117308415725103,2202.484375,1811;1811;1811,1809;1809;1809,0;0;0,1810;1810;1810,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,0f4881acffd3a6958b1bf67ae07363a84b563d1a,P15-eee_03-N-LIVO-r1;P15-eee_03-N-LIVO-r2;P15-eee_03-N-LIVO-r3,VALID_3_REPS
NTU,eee_03,P-LIVO-STRIDE,true,1,1;1;1,3,3,0.029665227352,0.0,0.029665227352,0.029665227352,0.029665227352,30.758920822666628,3.848485503144259,33.398751918999984,105.29953406999995,13.14707092251966,113.9879843700004,32.98246666666667,4.109252280187019,35.702,1068.9908854166667,4.475819743378526,1065.8828125,1068.9908854166667,4.475819743378526,1065.8828125,1049.1598307291667,4.235262081479407,1046.2978515625,1049.1598307291667,4.235262081479407,1046.2978515625,1046.5729166666667,4.630273876434301,1043.3125,1046.5729166666667,4.630273876434301,1043.3125,1806;1806;1806,1804;1804;1804,1;1;1,1806;1806;1806,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,00f12463d520d5ac7297f62385f56757d56a029c,P15-eee_03-P-LIVO-r1;P15-eee_03-P-LIVO-r2;P15-eee_03-P-LIVO-r3,VALID_3_REPS
NTU,nya_01,N-LIO,false,N/A (camera off),1;1;1,3,3,0.027764369868,0.0,0.027764369868,0.027764369868,0.027764369868,34.63314997233332,4.295593946088579,36.397002129000064,139.60949370566684,16.993217343528173,147.0592472510006,38.38056666666667,4.7195295615370645,40.6174,577.09375,1.0708588553824643,577.15234375,577.09375,1.0708588553824643,577.15234375,556.978515625,1.0120090377464368,557.533203125,556.978515625,1.0120090377464368,557.533203125,554.3424479166666,1.2313895088934481,554.5,554.3424479166666,1.2313895088934481,554.5,0;0;0,0;0;0,0;0;0,3948;3948;3948,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,0f4881acffd3a6958b1bf67ae07363a84b563d1a,P15-nya_01-N-LIO-r1;P15-nya_01-N-LIO-r2;P15-nya_01-N-LIO-r3,VALID_3_REPS
NTU,nya_01,P-LIO,false,N/A (camera off),1;1;1,3,3,0.023256332556,0.0,0.023256332556,0.023256332556,0.023256332556,24.317505264000015,2.808189675969531,26.085411869999977,91.77261291966681,10.374827024535216,98.01174133200023,29.21966666666667,3.394964084575204,31.1601,267.0859375,1.8613134372234412,266.23828125,266.73046875,1.6946313195632823,266.23828125,246.88802083333334,1.6798805934110412,246.4931640625,246.46875,1.500332053836485,246.4931640625,244.26302083333334,2.0390533538002624,243.5078125,243.890625,1.831713336399774,243.5078125,0;0;0,0;0;0,0;0;0,3944;3944;3944,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,00f12463d520d5ac7297f62385f56757d56a029c,P15-nya_01-P-LIO-r1;P15-nya_01-P-LIO-r2;P15-nya_01-P-LIO-r3,VALID_3_REPS
NTU,nya_01,N-LIVO-STRIDE,true,1,1;1;1,3,3,0.037922360253666666,5.961757609309617e-05,0.037964516246,0.037838048269,0.037964516246,71.83591488799992,11.184240930201673,78.86845793999971,260.0640107990001,42.25701136602303,284.76234947199924,79.55576666666666,13.373893518426941,88.2122,2305.8958333333335,2.3866928218495262,2307.4609375,2305.8958333333335,2.3866928218495262,2307.4609375,2285.9485677083335,2.499160668091477,2286.8505859375,2285.9485677083335,2.499160668091477,2286.8505859375,2283.2825520833335,2.598718911191374,2284.765625,2283.2825520833335,2.598718911191374,2284.765625,3946;3946;3946,3944;3944;3944,0;0;0,3945;3945;3945,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,0f4881acffd3a6958b1bf67ae07363a84b563d1a,P15-nya_01-N-LIVO-r1;P15-nya_01-N-LIVO-r2;P15-nya_01-N-LIVO-r3,VALID_3_REPS
NTU,nya_01,P-LIVO-STRIDE,true,1,1;1;1,3,3,0.038840353663,7.505105510505377e-06,0.038835046752,0.038835046752,0.038850967485,56.10569162800012,6.4671576215413245,59.657259985000145,197.98717407233394,24.25268673073442,212.0569142849994,61.9444,5.2493588205291015,64.5562,2042.5611979166667,1.9287656297185722,2043.82421875,2041.9700520833333,1.7104925141145793,2042.05078125,2022.5680338541667,1.4572154528939385,2023.4541015625,2022.0354817708333,1.2026409369886155,2022.138671875,2019.87890625,1.7031697958558403,2020.765625,2019.3697916666667,1.5862848979804238,2019.23828125,3941;3941;3941,3939;3939;3939,1;1;1,3941;3941;3941,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,00f12463d520d5ac7297f62385f56757d56a029c,P15-nya_01-P-LIVO-r1;P15-nya_01-P-LIVO-r2;P15-nya_01-P-LIVO-r3,VALID_3_REPS
NTU,nya_02,N-LIO,false,N/A (camera off),1;1;1,3,3,0.029233703789,0.0,0.029233703789,0.029233703789,0.029233703789,38.009364376666696,5.863492831859741,41.40504542800016,153.44850158433283,22.651434693986626,166.81420003799934,42.09256666666666,6.150583367634505,45.7294,562.4973958333334,1.947119238514441,562.1640625,562.3463541666666,1.9843374066867734,561.7109375,542.9781901041666,1.2680736657908669,542.759765625,542.8323567708334,1.309294727649758,542.322265625,540.6184895833334,1.6763269839497472,540.73046875,540.49609375,1.6770873770655184,540.36328125,0;0;0,0;0;0,0;0;0,4284;4284;4284,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,0f4881acffd3a6958b1bf67ae07363a84b563d1a,P15-nya_02-N-LIO-r1;P15-nya_02-N-LIO-r2;P15-nya_02-N-LIO-r3,VALID_3_REPS
NTU,nya_02,P-LIO,false,N/A (camera off),1;1;1,3,3,0.029556829654999995,0.0,0.029556829655,0.029556829655,0.029556829655,27.322735008333286,3.593569644265689,29.59265538099991,103.31508910566708,13.474285884834211,111.95259335200026,32.56773333333334,4.261796192008977,35.0844,279.4817708333333,1.2875240714611955,279.046875,278.890625,1.1344546287478843,279.046875,259.6025390625,1.141865095357632,259.1962890625,258.9104817708333,0.8577537579816233,258.4521484375,257.1106770833333,1.7174010252317349,256.0234375,256.4583333333333,1.5147533379056077,255.7734375,0;0;0,0;0;0,0;0;0,4280;4280;4280,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,00f12463d520d5ac7297f62385f56757d56a029c,P15-nya_02-P-LIO-r1;P15-nya_02-P-LIO-r2;P15-nya_02-P-LIO-r3,VALID_3_REPS
NTU,nya_02,N-LIVO-STRIDE,true,1,1;1;1,3,3,0.03697045449133333,8.832376522878498e-07,0.036969829948,0.036969829948,0.036971703578,74.72763463366671,11.834343210148678,82.77265777100003,275.3034525509989,45.04468731599304,305.5719638529981,83.08073333333333,14.370216962020981,90.3481,2419.5716145833335,21.384520871018587,2432.1484375,2419.5716145833335,21.384520871018587,2432.1484375,2400.3138020833335,19.452877954482954,2411.6513671875,2400.3138020833335,19.452877954482954,2411.6513671875,2398.2890625,18.9698908974408,2408.96484375,2398.2890625,18.9698908974408,2408.96484375,4283;4283;4283,4282;4282;4282,0;0;0,4283;4283;4283,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,0f4881acffd3a6958b1bf67ae07363a84b563d1a,P15-nya_02-N-LIVO-r1;P15-nya_02-N-LIVO-r2;P15-nya_02-N-LIVO-r3,VALID_3_REPS
NTU,nya_02,P-LIVO-STRIDE,true,1,1;1;1,3,3,0.046925802685,5.23620109226912e-05,0.046962828218,0.046851751619,0.046962828218,60.565357472333396,8.904535363386666,65.7246838529998,214.487069741334,30.35920724263638,232.73340680699988,65.53676666666667,9.411838686935134,71.1019,2188.6666666666665,3.6368737566172378,2186.75390625,2188.6666666666665,3.6368737566172378,2186.75390625,2168.5970052083335,3.3315681552110408,2167.861328125,2168.5970052083335,3.3315681552110408,2167.861328125,2166.00390625,3.649081514359127,2164.80859375,2166.00390625,3.649081514359127,2164.80859375,4279;4279;4279,4277;4277;4277,0;0;0,4279;4279;4279,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,00f12463d520d5ac7297f62385f56757d56a029c,P15-nya_02-P-LIVO-r1;P15-nya_02-P-LIVO-r2;P15-nya_02-P-LIVO-r3,VALID_3_REPS
