sequence,mode,config_overlay,camera_mode,input_semantics,affinity,workers,lidar_count,imu_count,backend_attempted,backend_success,backend_rejected,trajectory_rows,trajectory_sha256,ate_rmse_m,first_failure_epoch,first_failure_error,run_rc,status,run_dir
Church_05,P-LIO,OXFORD_Prompt16_official.yaml,off,fast_native,0-31,32,8007,319608,8007,8007,0,8001,a85400ba437ed456dd78694828001e0047a03f77c814290558ddd5931a7d35ca,0.2440,,,0,PASS,results/prob_livo/prompt16/P16-Church_05-P-LIO-official-32log
Palace_01,P-LIO,OXFORD_Prompt16_official.yaml,off,fast_native,0-31,32,4052,161400,4052,1424,2628,1419,e4e38635bf3ed83168ae6b14792bad9d5a049a94b313eb56a6b4b97b5daf2280,111871.7725,6,scheduler point time is outside the LIO epoch,0,INCOMPLETE_ROOT_CAUSE_IDENTIFIED,results/prob_livo/prompt16/P16-Palace_01-P-LIO-official-32log-trace3
Quarter_01,P-LIO,OXFORD_Prompt16_official.yaml,off,fast_native,0-31,32,2894,115459,2894,1178,1716,1173,6a6c9a4cd703e5f56e90622d6b12e306d4f35c85c32ed1b8408f35873ac17397,22634.7459,6,scheduler point time is outside the LIO epoch,0,INCOMPLETE_ROOT_CAUSE_IDENTIFIED,results/prob_livo/prompt16/P16-Quarter_01-P-LIO-official-32log-trace3
