execution_index,slot_id,dataset,sequence,variant,repetition,order_block,position_in_block,status,ate_rmse_m,replaces_run_id,actual_run_id,notes
128,P15-eee_01-P-LIO-r3,NTU,eee_01,P-LIO,3,32,4,VALID,0.049511281713,,P15-eee_01-P-LIO-r3,formal_status=VALID; ATE_RMSE_m=0.049511; rows=3981
129,P15-eee_02-P-LIVO-r3,NTU,eee_02,P-LIVO,3,33,1,VALID,0.027338567828,,P15-eee_02-P-LIVO-r3,formal_status=VALID; ATE_RMSE_m=0.027339; rows=3202
130,P15-eee_02-N-LIO-r3,NTU,eee_02,N-LIO,3,33,2,VALID,0.021901091769,,P15-eee_02-N-LIO-r3,formal_status=VALID; ATE_RMSE_m=0.021901; rows=3208
131,P15-eee_02-P-LIO-r3,NTU,eee_02,P-LIO,3,33,3,VALID,0.017281438879,,P15-eee_02-P-LIO-r3,formal_status=VALID; ATE_RMSE_m=0.017281; rows=3204
132,P15-eee_02-N-LIVO-r3,NTU,eee_02,N-LIVO,3,33,4,VALID,0.035962174634,,P15-eee_02-N-LIVO-r3,formal_status=VALID; ATE_RMSE_m=0.035962; rows=3206
133,P15-eee_03-N-LIO-r3,NTU,eee_03,N-LIO,3,34,1,VALID,0.031571706463,,P15-eee_03-N-LIO-r3,formal_status=VALID; ATE_RMSE_m=0.031572; rows=1812
134,P15-eee_03-P-LIO-r3,NTU,eee_03,P-LIO,3,34,2,VALID,0.029984326739,,P15-eee_03-P-LIO-r3,formal_status=VALID; ATE_RMSE_m=0.029984; rows=1808
135,P15-eee_03-N-LIVO-r3,NTU,eee_03,N-LIVO,3,34,3,VALID,0.030183888023,,P15-eee_03-N-LIVO-r3,formal_status=VALID; ATE_RMSE_m=0.030184; rows=1810
136,P15-eee_03-P-LIVO-r3,NTU,eee_03,P-LIVO,3,34,4,VALID,0.029665227352,,P15-eee_03-P-LIVO-r3,formal_status=VALID; ATE_RMSE_m=0.029665; rows=1806
137,P15-nya_01-P-LIO-r3,NTU,nya_01,P-LIO,3,35,1,VALID,0.023256332556,,P15-nya_01-P-LIO-r3,formal_status=VALID; ATE_RMSE_m=0.023256; rows=3944
138,P15-nya_01-N-LIVO-r3,NTU,nya_01,N-LIVO,3,35,2,VALID,0.037838048269,,P15-nya_01-N-LIVO-r3,formal_status=VALID; ATE_RMSE_m=0.037838; rows=3945
139,P15-nya_01-P-LIVO-r3,NTU,nya_01,P-LIVO,3,35,3,VALID,0.038835046752,,P15-nya_01-P-LIVO-r3,formal_status=VALID; ATE_RMSE_m=0.038835; rows=3941
140,P15-nya_01-N-LIO-r3,NTU,nya_01,N-LIO,3,35,4,VALID,0.027764369868,,P15-nya_01-N-LIO-r3,formal_status=VALID; ATE_RMSE_m=0.027764; rows=3948
141,P15-nya_02-N-LIVO-r3,NTU,nya_02,N-LIVO,3,36,1,VALID,0.036971703578,,P15-nya_02-N-LIVO-r3,formal_status=VALID; ATE_RMSE_m=0.036972; rows=4283
142,P15-nya_02-P-LIVO-r3,NTU,nya_02,P-LIVO,3,36,2,VALID,0.046962828218,,P15-nya_02-P-LIVO-r3,formal_status=VALID; ATE_RMSE_m=0.046963; rows=4279
143,P15-nya_02-N-LIO-r3,NTU,nya_02,N-LIO,3,36,3,VALID,0.029233703789,,P15-nya_02-N-LIO-r3,formal_status=VALID; ATE_RMSE_m=0.029234; rows=4284
144,P15-nya_02-P-LIO-r3,NTU,nya_02,P-LIO,3,36,4,VALID,0.029556829655,,P15-nya_02-P-LIO-r3,formal_status=VALID; ATE_RMSE_m=0.029557; rows=4280
145,P15-nya_03-P-LIVO-r3,NTU,nya_03,P-LIVO,3,37,1,VALID,0.031950797092,,P15-nya_03-P-LIVO-r3,formal_status=VALID; ATE_RMSE_m=0.031951; rows=4086
146,P15-nya_03-N-LIO-r3,NTU,nya_03,N-LIO,3,37,2,VALID,0.028883185208,,P15-nya_03-N-LIO-r3,formal_status=VALID; ATE_RMSE_m=0.028883; rows=4092
147,P15-nya_03-P-LIO-r3,NTU,nya_03,P-LIO,3,37,3,VALID,0.025757128560,,P15-nya_03-P-LIO-r3,formal_status=VALID; ATE_RMSE_m=0.025757; rows=4088
148,P15-nya_03-N-LIVO-r3,NTU,nya_03,N-LIVO,3,37,4,VALID,0.033347343562,,P15-nya_03-N-LIVO-r3,formal_status=VALID; ATE_RMSE_m=0.033347; rows=4090
149,P15-sbs_01-N-LIO-r3,NTU,sbs_01,N-LIO,3,38,1,VALID,0.027765936400,,P15-sbs_01-N-LIO-r3,formal_status=VALID; ATE_RMSE_m=0.027766; rows=3540
150,P15-sbs_01-P-LIO-r3,NTU,sbs_01,P-LIO,3,38,2,VALID,0.025729330675,,P15-sbs_01-P-LIO-r3,formal_status=VALID; ATE_RMSE_m=0.025729; rows=3536
151,P15-sbs_01-N-LIVO-r3,NTU,sbs_01,N-LIVO,3,38,3,VALID,0.028935797191,,P15-sbs_01-N-LIVO-r3,formal_status=VALID; ATE_RMSE_m=0.028936; rows=3538
152,P15-sbs_01-P-LIVO-r3,NTU,sbs_01,P-LIVO,3,38,4,VALID,0.029509386517,,P15-sbs_01-P-LIVO-r3,formal_status=VALID; ATE_RMSE_m=0.029509; rows=3534
153,P15-sbs_02-P-LIO-r3,NTU,sbs_02,P-LIO,3,39,1,VALID,0.024137094563,,P15-sbs_02-P-LIO-r3,formal_status=VALID; ATE_RMSE_m=0.024137; rows=3725
154,P15-sbs_02-N-LIVO-r3,NTU,sbs_02,N-LIVO,3,39,2,VALID,0.028719374406,,P15-sbs_02-N-LIVO-r3,formal_status=VALID; ATE_RMSE_m=0.028719; rows=3728
155,P15-sbs_02-P-LIVO-r3,NTU,sbs_02,P-LIVO,3,39,3,VALID,0.028538462468,,P15-sbs_02-P-LIVO-r3,formal_status=VALID; ATE_RMSE_m=0.028538; rows=3724
156,P15-sbs_02-N-LIO-r3,NTU,sbs_02,N-LIO,3,39,4,VALID,0.026968429626,,P15-sbs_02-N-LIO-r3,formal_status=VALID; ATE_RMSE_m=0.026968; rows=3729
