family,sequence,arm,stride,repetition,run_id,run_dir,status,config_authority,config_sha256,shared_semantic_sha256,source_head,ate_rmse_m,matched_count,trajectory_rows,backend_attempted,backend_success,backend_rejected,visual_calls,visual_commits,estimator_wall_s,estimator_cpu_s,estimator_count,offline_wall_s,offline_process_cpu_s,bag_duration_s,rtf,peak_raw_cpu_pct,peak_rss_mib,final_rss_mib,peak_pss_mib,final_pss_mib,peak_uss_mib,final_uss_mib,config_identity,stride_identity
NTU,eee_01,P-LIVO-STRIDE,1,2,P15-eee_01-P-LIVO-r2,results/prob_livo/prompt15/formal/P15-eee_01-P-LIVO-r2,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,00f12463d520d5ac7297f62385f56757d56a029c,0.052040236474,0,3979.0,3984.0,3983.0,1.0,3979.0,3977.0,73.44830529600004,242.7290872230006,7967.0,78.2364,253.572,0.0,nan,370.66,2102.96484375,2102.96484375,2084.216796875,2084.216796875,2082.63671875,2082.63671875,PASS,PASS
NTU,eee_01,P-LIVO-STRIDE,1,3,P15-eee_01-P-LIVO-r3,results/prob_livo/prompt15/formal/P15-eee_01-P-LIVO-r3,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,00f12463d520d5ac7297f62385f56757d56a029c,0.052025117016,0,3979.0,3984.0,3983.0,1.0,3979.0,3977.0,73.8671685669996,244.68969688399937,7967.0,78.6794,255.783,0.0,nan,364.864,2107.32421875,2105.65234375,2086.849609375,2085.212890625,2084.07421875,2082.5078125,PASS,PASS
NTU,eee_02,N-LIO,1,1,P15-eee_02-N-LIO-r1,results/prob_livo/prompt15/formal/P15-eee_02-N-LIO-r1,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,0f4881acffd3a6958b1bf67ae07363a84b563d1a,0.021901091769,0,3208.0,3208.0,3208.0,0.0,0.0,0.0,27.627564408000012,108.79262879799982,3210.0,30.1204,116.067,0.0,nan,392.392,1717.875,1717.875,1697.2890625,1697.2890625,1695.25390625,1695.25390625,PASS,PASS
NTU,eee_02,N-LIO,1,2,P15-eee_02-N-LIO-r2,results/prob_livo/prompt15/formal/P15-eee_02-N-LIO-r2,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,0f4881acffd3a6958b1bf67ae07363a84b563d1a,0.021901091769,0,3208.0,3208.0,3208.0,0.0,0.0,0.0,34.84012812400008,137.11316347600027,3210.0,38.0734,147.468,0.0,nan,393.05,1713.30859375,1713.30859375,1693.5283203125,1693.5283203125,1690.7421875,1690.7421875,PASS,PASS
NTU,eee_02,N-LIO,1,3,P15-eee_02-N-LIO-r3,results/prob_livo/prompt15/formal/P15-eee_02-N-LIO-r3,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,0f4881acffd3a6958b1bf67ae07363a84b563d1a,0.021901091769,0,3208.0,3208.0,3208.0,0.0,0.0,0.0,35.654690904000006,141.04909337000015,3210.0,39.0128,152.131,0.0,nan,395.154,1715.765625,1714.0859375,1696.568359375,1694.841796875,1693.57421875,1691.91796875,PASS,PASS
NTU,eee_02,P-LIO,1,1,P15-eee_02-P-LIO-r1,results/prob_livo/prompt15/formal/P15-eee_02-P-LIO-r1,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,00f12463d520d5ac7297f62385f56757d56a029c,0.017281438879,0,3204.0,3210.0,3210.0,0.0,0.0,0.0,21.560932743000063,81.08419169199992,3210.0,24.6152,84.5595,0.0,nan,350.022,295.93359375,295.25390625,275.2626953125,274.5869140625,273.1484375,272.54296875,PASS,PASS
NTU,eee_02,P-LIO,1,2,P15-eee_02-P-LIO-r2,results/prob_livo/prompt15/formal/P15-eee_02-P-LIO-r2,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,00f12463d520d5ac7297f62385f56757d56a029c,0.017281438879,0,3204.0,3210.0,3210.0,0.0,0.0,0.0,32.00330738600007,119.77801470299974,3210.0,35.9581,124.188,0.0,nan,354.115,291.68359375,291.68359375,271.3466796875,271.3466796875,268.59765625,268.59765625,PASS,PASS
NTU,eee_02,P-LIO,1,3,P15-eee_02-P-LIO-r3,results/prob_livo/prompt15/formal/P15-eee_02-P-LIO-r3,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,00f12463d520d5ac7297f62385f56757d56a029c,0.017281438879,0,3204.0,3210.0,3210.0,0.0,0.0,0.0,28.597296576,107.7911698089994,3210.0,32.2467,111.964,0.0,nan,354.757,294.5859375,292.61328125,276.6318359375,274.5966796875,275.15625,273.19140625,PASS,PASS
NTU,eee_02,N-LIVO-STRIDE,1,1,P15-eee_02-N-LIVO-r1,results/prob_livo/prompt15/formal/P15-eee_02-N-LIVO-r1,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,0f4881acffd3a6958b1bf67ae07363a84b563d1a,0.035865854748,0,3206.0,3206.0,3206.0,0.0,3207.0,3205.0,51.52199687200013,177.04139484299895,6415.0,55.0227,198.055,0.0,nan,395.727,3109.8203125,3109.8203125,3089.8994140625,3089.8994140625,3087.91796875,3087.91796875,PASS,PASS
NTU,eee_02,N-LIVO-STRIDE,1,2,P15-eee_02-N-LIVO-r2,results/prob_livo/prompt15/formal/P15-eee_02-N-LIVO-r2,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,0f4881acffd3a6958b1bf67ae07363a84b563d1a,0.036073558341,0,3206.0,3206.0,3206.0,0.0,3207.0,3205.0,68.14411606999998,240.90721518799876,6415.0,76.2806,277.402,0.0,nan,395.485,3110.36328125,3110.36328125,3090.5498046875,3090.5498046875,3087.6796875,3087.6796875,PASS,PASS
