dataset,sequence,arm,fej,stride,config_authority,config_sha256,shared_semantic_sha256,source_head,n_valid_runs,n_supplemental_runs,stability_status,ate_rmse_m_mean,ate_rmse_m_std,ate_rmse_m_median,ate_rmse_m_min,ate_rmse_m_max,estimator_wall_s_mean,estimator_wall_s_std,estimator_cpu_s_mean,estimator_cpu_s_std,offline_wall_s_mean,offline_wall_s_std,peak_pss_mib_mean,peak_pss_mib_std,final_pss_mib_mean,final_pss_mib_std,peak_uss_mib_mean,peak_uss_mib_std,final_uss_mib_mean,final_uss_mib_std,backend_rejected,visual_calls,visual_commits,fej_anchor_counters,final_validity,source_historical_new_artifact,source_artifact_ids,stable_window_mean,stable_window_median,stable_window_range
NTU,eee_03,N-LIVO-STRIDE,off,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,0f4881acffd3a6958b1bf67ae07363a84b563d1a,3,0,PROMPT22_CANONICAL,0.03021359209666667,2.468115530203961e-05,0.030212569936,0.030183888023,0.030244318331,34.260877416666645,4.133708462719124,120.04807488999978,16.543094029066488,36.9672,4.110423098254808,2203.2805989583335,1.6952874357106162,2203.2805989583335,1.6952874357106162,2201.2174479166665,2.117308415725103,2201.2174479166665,2.117308415725103,0;0;0,1811;1811;1811,1809;1809;1809,NA,VALID_3_REPS,PROMPT22_FINAL_MATRIX.csv,P15-eee_03-N-LIVO-r1;P15-eee_03-N-LIVO-r2;P15-eee_03-N-LIVO-r3,,,
NTU,eee_03,P-LIVO-STRIDE,off,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,00f12463d520d5ac7297f62385f56757d56a029c,3,0,PROMPT22_CANONICAL,0.029665227352,0.0,0.029665227352,0.029665227352,0.029665227352,30.75892082266663,3.848485503144259,105.29953406999995,13.14707092251966,32.98246666666667,4.109252280187019,1049.1598307291667,4.235262081479407,1049.1598307291667,4.235262081479407,1046.5729166666667,4.630273876434301,1046.5729166666667,4.630273876434301,1;1;1,1806;1806;1806,1804;1804;1804,NA,VALID_3_REPS,PROMPT22_FINAL_MATRIX.csv,P15-eee_03-P-LIVO-r1;P15-eee_03-P-LIVO-r2;P15-eee_03-P-LIVO-r3,,,
NTU,nya_01,N-LIO,off,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,0f4881acffd3a6958b1bf67ae07363a84b563d1a,3,0,PROMPT22_CANONICAL,0.027764369868,0.0,0.027764369868,0.027764369868,0.027764369868,34.63314997233332,4.295593946088579,139.60949370566684,16.993217343528173,38.38056666666667,4.7195295615370645,556.978515625,1.0120090377464368,556.978515625,1.0120090377464368,554.3424479166666,1.2313895088934481,554.3424479166666,1.2313895088934481,0;0;0,0;0;0,0;0;0,NA,VALID_3_REPS,PROMPT22_FINAL_MATRIX.csv,P15-nya_01-N-LIO-r1;P15-nya_01-N-LIO-r2;P15-nya_01-N-LIO-r3,,,
NTU,nya_01,P-LIO,off,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,00f12463d520d5ac7297f62385f56757d56a029c,3,0,PROMPT22_CANONICAL,0.023256332556,0.0,0.023256332556,0.023256332556,0.023256332556,24.317505264000015,2.808189675969531,91.7726129196668,10.374827024535216,29.21966666666667,3.394964084575204,246.88802083333334,1.6798805934110412,246.46875,1.500332053836485,244.26302083333334,2.0390533538002624,243.890625,1.831713336399774,0;0;0,0;0;0,0;0;0,NA,VALID_3_REPS,PROMPT22_FINAL_MATRIX.csv,P15-nya_01-P-LIO-r1;P15-nya_01-P-LIO-r2;P15-nya_01-P-LIO-r3,,,
NTU,nya_01,N-LIVO-STRIDE,off,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,0f4881acffd3a6958b1bf67ae07363a84b563d1a,3,0,PROMPT22_CANONICAL,0.037922360253666666,5.961757609309617e-05,0.037964516246,0.037838048269,0.037964516246,71.83591488799993,11.184240930201673,260.064010799,42.25701136602303,79.55576666666667,13.373893518426941,2285.9485677083335,2.499160668091477,2285.9485677083335,2.499160668091477,2283.2825520833335,2.598718911191374,2283.2825520833335,2.598718911191374,0;0;0,3946;3946;3946,3944;3944;3944,NA,VALID_3_REPS,PROMPT22_FINAL_MATRIX.csv,P15-nya_01-N-LIVO-r1;P15-nya_01-N-LIVO-r2;P15-nya_01-N-LIVO-r3,,,
NTU,nya_01,P-LIVO-STRIDE,off,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,00f12463d520d5ac7297f62385f56757d56a029c,3,0,PROMPT22_CANONICAL,0.038840353663,7.505105510505377e-06,0.038835046752,0.038835046752,0.038850967485,56.10569162800012,6.4671576215413245,197.98717407233394,24.25268673073442,61.9444,5.2493588205291015,2022.5680338541667,1.4572154528939385,2022.0354817708333,1.2026409369886155,2019.87890625,1.7031697958558403,2019.3697916666667,1.5862848979804238,1;1;1,3941;3941;3941,3939;3939;3939,NA,VALID_3_REPS,PROMPT22_FINAL_MATRIX.csv,P15-nya_01-P-LIVO-r1;P15-nya_01-P-LIVO-r2;P15-nya_01-P-LIVO-r3,,,
NTU,nya_02,N-LIO,off,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,0f4881acffd3a6958b1bf67ae07363a84b563d1a,3,0,PROMPT22_CANONICAL,0.029233703789,0.0,0.029233703789,0.029233703789,0.029233703789,38.009364376666696,5.863492831859741,153.44850158433283,22.651434693986626,42.09256666666666,6.150583367634505,542.9781901041666,1.2680736657908669,542.8323567708334,1.309294727649758,540.6184895833334,1.6763269839497472,540.49609375,1.6770873770655184,0;0;0,0;0;0,0;0;0,NA,VALID_3_REPS,PROMPT22_FINAL_MATRIX.csv,P15-nya_02-N-LIO-r1;P15-nya_02-N-LIO-r2;P15-nya_02-N-LIO-r3,,,
NTU,nya_02,P-LIO,off,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,00f12463d520d5ac7297f62385f56757d56a029c,3,0,PROMPT22_CANONICAL,0.029556829655,0.0,0.029556829655,0.029556829655,0.029556829655,27.322735008333286,3.593569644265689,103.31508910566708,13.474285884834211,32.56773333333334,4.261796192008977,259.6025390625,1.141865095357632,258.9104817708333,0.8577537579816233,257.1106770833333,1.7174010252317349,256.4583333333333,1.5147533379056077,0;0;0,0;0;0,0;0;0,NA,VALID_3_REPS,PROMPT22_FINAL_MATRIX.csv,P15-nya_02-P-LIO-r1;P15-nya_02-P-LIO-r2;P15-nya_02-P-LIO-r3,,,
NTU,nya_02,N-LIVO-STRIDE,off,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,0f4881acffd3a6958b1bf67ae07363a84b563d1a,3,0,PROMPT22_CANONICAL,0.036970454491333335,8.832376522878498e-07,0.036969829948,0.036969829948,0.036971703578,74.72763463366671,11.834343210148678,275.3034525509989,45.04468731599304,83.08073333333334,14.370216962020981,2400.3138020833335,19.452877954482954,2400.3138020833335,19.452877954482954,2398.2890625,18.9698908974408,2398.2890625,18.9698908974408,0;0;0,4283;4283;4283,4282;4282;4282,NA,VALID_3_REPS,PROMPT22_FINAL_MATRIX.csv,P15-nya_02-N-LIVO-r1;P15-nya_02-N-LIVO-r2;P15-nya_02-N-LIVO-r3,,,
NTU,nya_02,P-LIVO-STRIDE,off,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,00f12463d520d5ac7297f62385f56757d56a029c,3,0,PROMPT22_CANONICAL,0.046925802685,5.23620109226912e-05,0.046962828218,0.046851751619,0.046962828218,60.565357472333396,8.904535363386666,214.48706974133398,30.35920724263638,65.53676666666667,9.411838686935134,2168.5970052083335,3.3315681552110408,2168.5970052083335,3.3315681552110408,2166.00390625,3.649081514359127,2166.00390625,3.649081514359127,0;0;0,4279;4279;4279,4277;4277;4277,NA,VALID_3_REPS,PROMPT22_FINAL_MATRIX.csv,P15-nya_02-P-LIVO-r1;P15-nya_02-P-LIVO-r2;P15-nya_02-P-LIVO-r3,,,
