dataset,sequence,backend,arm,fej,repetition,run_id,run_dir,diagnostic_rows,anchor_used_rows,missing_or_stale_rows,stale_anchor_use_rows,current_minus_fej_rotation_mean,current_minus_fej_rotation_median,current_minus_fej_rotation_p95,current_minus_fej_rotation_max,current_minus_fej_position_mean,current_minus_fej_position_median,current_minus_fej_position_p95,current_minus_fej_position_max,visual_correction_rotation_mean,visual_correction_rotation_median,visual_correction_rotation_p95,visual_correction_rotation_max,visual_correction_position_mean,visual_correction_position_median,visual_correction_position_p95,visual_correction_position_max
OXFORD,College_03,native,N-LIVO-STRIDE,off,1,P24-College_03-N-LIVO-STRIDE-r1-FEJ-OFF,results/prob_livo/prompt24/off_regression/P24-College_03-N-LIVO-STRIDE-r1-FEJ-OFF,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OXFORD,College_03,native,N-LIVO-STRIDE,off,2,P24-College_03-N-LIVO-STRIDE-r2-FEJ-OFF,results/prob_livo/prompt24/off_regression/P24-College_03-N-LIVO-STRIDE-r2-FEJ-OFF,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OXFORD,College_03,native,N-LIVO-STRIDE,off,3,P24-College_03-N-LIVO-STRIDE-r3-FEJ-OFF,results/prob_livo/prompt24/off_regression/P24-College_03-N-LIVO-STRIDE-r3-FEJ-OFF,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OXFORD,College_03,prob,P-LIVO-STRIDE,off,1,P24-College_03-P-LIVO-STRIDE-r1-FEJ-OFF,results/prob_livo/prompt24/off_regression/P24-College_03-P-LIVO-STRIDE-r1-FEJ-OFF,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTU,nya_01,native,N-LIVO-STRIDE,off,1,P24-nya_01-N-LIVO-STRIDE-r1-FEJ-OFF,results/prob_livo/prompt24/off_regression/P24-nya_01-N-LIVO-STRIDE-r1-FEJ-OFF,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTU,nya_01,prob,P-LIVO-STRIDE,off,1,P24-nya_01-P-LIVO-STRIDE-r1-FEJ-OFF,results/prob_livo/prompt24/off_regression/P24-nya_01-P-LIVO-STRIDE-r1-FEJ-OFF,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTU,nya_01,prob,P-LIVO-STRIDE,off,2,P24-nya_01-P-LIVO-STRIDE-r2-FEJ-OFF,results/prob_livo/prompt24/off_regression/P24-nya_01-P-LIVO-STRIDE-r2-FEJ-OFF,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTU,nya_01,prob,P-LIVO-STRIDE,off,3,P24-nya_01-P-LIVO-STRIDE-r3-FEJ-OFF,results/prob_livo/prompt24/off_regression/P24-nya_01-P-LIVO-STRIDE-r3-FEJ-OFF,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
