dataset,sequence,backend,arm,fej,repetition,phase,run_id,run_dir,status,source_head,config_authority,config_sha256,shared_semantic_sha256,bag_sha256,stride,affinity,workers,build_type,trajectory_rows,trajectory_sha256,matched_count,ate_rmse_m,prompt22_lio_ref_ate_m,backend_attempted,backend_success,backend_rejected,lidar_epochs,camera_epochs,images_received,visual_process_calls,visual_state_commits,cross_modal_fej_enabled,fej_anchor_valid,fej_anchor_epoch_id,fej_anchor_lidar_timestamp,fej_visual_epoch_id,fej_visual_epochs_using_anchor,fej_anchor_reuse_count,fej_stale_or_missing_count,estimator_wall_s,offline_wall_s,peak_pss_mib,final_pss_mib,peak_uss_mib,final_uss_mib
OXFORD,College_03,native,N-LIVO-STRIDE,off,1,off_regression,P24-College_03-N-LIVO-STRIDE-r1-FEJ-OFF,results/prob_livo/prompt24/off_regression/P24-College_03-N-LIVO-STRIDE-r1-FEJ-OFF,VALID,12d434e5f608e38593c44ae4be130d9b30697752,ori-drs_FAST-LIVO2_config-used-OSD_f2c9abb_dataset-author,1d49d420012c8d984cc354a88ee82c8bb59ebd523cc696b504cca8e737e60c7e,860ff168e9b2e89f291e4aeb0d741ce822e18ff2bc6cd57a37f7d58da4a7ddc0,3dc3aac039610cb9104507237da87fe7eaf10de5d7c595aa8baa83234b39ffe4,2,"0,2,4,6",4,Release,2838,3e88029594f1d89aaec98ca2733a1e8fb061ce42de5960b003d7d0a904c0f181,2838,0.0655,0.0481,2838,2838,0,2840,2839,2840,2839,2837,0,0,0,nan,0,0,0,0,86.99853852400003,129.494,5901.3388671875,5901.3388671875,5898.24609375,5898.24609375
OXFORD,College_03,native,N-LIVO-STRIDE,off,2,off_regression,P24-College_03-N-LIVO-STRIDE-r2-FEJ-OFF,results/prob_livo/prompt24/off_regression/P24-College_03-N-LIVO-STRIDE-r2-FEJ-OFF,VALID,12d434e5f608e38593c44ae4be130d9b30697752,ori-drs_FAST-LIVO2_config-used-OSD_f2c9abb_dataset-author,1d49d420012c8d984cc354a88ee82c8bb59ebd523cc696b504cca8e737e60c7e,860ff168e9b2e89f291e4aeb0d741ce822e18ff2bc6cd57a37f7d58da4a7ddc0,3dc3aac039610cb9104507237da87fe7eaf10de5d7c595aa8baa83234b39ffe4,2,"0,2,4,6",4,Release,2838,23f957cf6c4a37ac3b265cbda7c03b5c444f149674f658bb2a42790a5eb44073,2838,0.0683,0.0481,2838,2838,0,2840,2839,2840,2839,2837,0,0,0,nan,0,0,0,0,82.25877770899993,122.011,5866.119140625,5866.119140625,5863.02734375,5863.02734375
OXFORD,College_03,native,N-LIVO-STRIDE,off,3,off_regression,P24-College_03-N-LIVO-STRIDE-r3-FEJ-OFF,results/prob_livo/prompt24/off_regression/P24-College_03-N-LIVO-STRIDE-r3-FEJ-OFF,VALID,12d434e5f608e38593c44ae4be130d9b30697752,ori-drs_FAST-LIVO2_config-used-OSD_f2c9abb_dataset-author,1d49d420012c8d984cc354a88ee82c8bb59ebd523cc696b504cca8e737e60c7e,860ff168e9b2e89f291e4aeb0d741ce822e18ff2bc6cd57a37f7d58da4a7ddc0,3dc3aac039610cb9104507237da87fe7eaf10de5d7c595aa8baa83234b39ffe4,2,"0,2,4,6",4,Release,2838,bc1164e2f8f8335f1b936d5b63d4b2227b0c717ea40d96d806d26cdb2e775018,2838,0.0663,0.0481,2838,2838,0,2840,2839,2840,2839,2837,0,0,0,nan,0,0,0,0,82.16604432199996,122.262,5951.724609375,5951.724609375,5948.59375,5948.59375
OXFORD,College_03,prob,P-LIVO-STRIDE,off,1,off_regression,P24-College_03-P-LIVO-STRIDE-r1-FEJ-OFF,results/prob_livo/prompt24/off_regression/P24-College_03-P-LIVO-STRIDE-r1-FEJ-OFF,VALID,1225875d6a33a9fa96c8687690e468cac7e47b1a,ori-drs_FAST-LIVO2_config-used-OSD_f2c9abb_dataset-author,1d49d420012c8d984cc354a88ee82c8bb59ebd523cc696b504cca8e737e60c7e,860ff168e9b2e89f291e4aeb0d741ce822e18ff2bc6cd57a37f7d58da4a7ddc0,3dc3aac039610cb9104507237da87fe7eaf10de5d7c595aa8baa83234b39ffe4,2,"0,2,4,6",4,Release,2834,62cfa28468a6fd4eac5ff5c3b950cb2fb1a6291142f95442c2e9d6cf50c6027c,2834,0.0925,0.0748,2840,2840,0,2834,2840,2840,2834,2831,0,0,0,nan,0,0,0,0,125.22770306699977,168.121,5871.625,5871.625,5868.55078125,5868.55078125
NTU,nya_01,native,N-LIVO-STRIDE,off,1,off_regression,P24-nya_01-N-LIVO-STRIDE-r1-FEJ-OFF,results/prob_livo/prompt24/off_regression/P24-nya_01-N-LIVO-STRIDE-r1-FEJ-OFF,VALID,12d434e5f608e38593c44ae4be130d9b30697752,hku-mars_FAST-LIVO2_0d2c034_NTU_VIRAL,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,8e8655cea434bf78cb037a05bde4726e72a434cd37197e309a97d0c376e10061,1,"0,2,4,6",4,Release,3945,66772f737a45ba868b5019959b92e92ec0a491394fc63f8985675de6240b0f68,3891,0.03796451624636668,0.027764369868,3945,3945,0,3947,3946,3947,3946,3944,0,0,0,nan,0,0,0,0,85.11870786199981,92.7058,2250.86328125,2250.86328125,2247.8125,2247.8125
NTU,nya_01,prob,P-LIVO-STRIDE,off,1,off_regression,P24-nya_01-P-LIVO-STRIDE-r1-FEJ-OFF,results/prob_livo/prompt24/off_regression/P24-nya_01-P-LIVO-STRIDE-r1-FEJ-OFF,VALID,1225875d6a33a9fa96c8687690e468cac7e47b1a,hku-mars_FAST-LIVO2_0d2c034_NTU_VIRAL,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,8e8655cea434bf78cb037a05bde4726e72a434cd37197e309a97d0c376e10061,1,"0,2,4,6",4,Release,3941,211b346e9f81fe16c49dd97606ed72440cde2835eaa998a4ff6a1c75942f1db6,3888,0.03865415523541057,0.023256332556,3947,3947,0,3941,3947,3947,3941,3939,0,0,0,nan,0,0,0,0,116.55045039700012,123.504,1971.193359375,1971.193359375,1969.35546875,1969.35546875
NTU,nya_01,prob,P-LIVO-STRIDE,off,2,off_regression,P24-nya_01-P-LIVO-STRIDE-r2-FEJ-OFF,results/prob_livo/prompt24/off_regression/P24-nya_01-P-LIVO-STRIDE-r2-FEJ-OFF,VALID,b74f8ae872acaba489260d01a8682dc49364a85d,hku-mars_FAST-LIVO2_0d2c034_NTU_VIRAL,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,8e8655cea434bf78cb037a05bde4726e72a434cd37197e309a97d0c376e10061,1,"0,2,4,6",4,Release,3941,211b346e9f81fe16c49dd97606ed72440cde2835eaa998a4ff6a1c75942f1db6,3888,0.03865415523541057,0.023256332556,3947,3947,0,3941,3947,3947,3941,3939,0,0,0,nan,0,0,0,0,109.5819908630002,115.024,2025.7705078125,2025.7705078125,2022.6015625,2022.6015625
NTU,nya_01,prob,P-LIVO-STRIDE,off,3,off_regression,P24-nya_01-P-LIVO-STRIDE-r3-FEJ-OFF,results/prob_livo/prompt24/off_regression/P24-nya_01-P-LIVO-STRIDE-r3-FEJ-OFF,VALID,b74f8ae872acaba489260d01a8682dc49364a85d,hku-mars_FAST-LIVO2_0d2c034_NTU_VIRAL,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,8e8655cea434bf78cb037a05bde4726e72a434cd37197e309a97d0c376e10061,1,"0,2,4,6",4,Release,3941,211b346e9f81fe16c49dd97606ed72440cde2835eaa998a4ff6a1c75942f1db6,3888,0.03865415523541057,0.023256332556,3947,3947,0,3941,3947,3947,3941,3939,0,0,0,nan,0,0,0,0,112.42401087999997,117.974,2019.83984375,2019.83984375,2016.6015625,2016.6015625
