sequence,stride,n_osd_mean,n_osd_std,n_osd_median,n_osd_min,n_osd_max,p_osd_mean,p_osd_std,p_osd_median,p_osd_min,p_osd_max,n_ntu_mean,n_ntu_std,n_ntu_median,n_ntu_min,n_ntu_max,p_ntu_mean,p_ntu_std,p_ntu_median,p_ntu_min,p_ntu_max,delta_n_mean,delta_p_mean,gap_osd_mean,gap_ntu_mean,shared_semantic_sha256,camera_timestamp_count,camera_timestamp_sha256,n_ntu_run_ids,p_ntu_run_ids,n_ntu_status,p_ntu_status
Church_05,1,0.14293333333333333,0.0024458581770458866,0.1438,0.1396,0.1454,0.22993333333333332,0.00368178700572909,0.2296,0.2256,0.2346,0.20933333333333334,0.0007363574011458159,0.2094,0.2084,0.2102,0.22986666666666666,0.0012229290885229496,0.2303,0.2282,0.2311,0.06640000000000001,-6.666666666665932e-05,0.087,0.02053333333333332,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,3961,ada0f71ab84fe97d78a9d7ae4c17418f08876e98599731687d32f5778ef30336,P18-Church_05-N-LIVO-STRIDE-r1;P18-Church_05-N-LIVO-STRIDE-r2;P18-Church_05-N-LIVO-STRIDE-r3,P23-Church_05-P-LIVO-STRIDE-r1;P23-Church_05-P-LIVO-STRIDE-r2;P23-Church_05-P-LIVO-STRIDE-r3,VALID_3_REPS,VALID_3_REPS
College_03,2,0.07093333333333333,0.0028193773938387347,0.0711,0.0674,0.0743,0.1825,0.12777566278442856,0.0929,0.0914,0.3632,0.051366666666666665,4.714045207910452e-05,0.0514,0.0513,0.0514,0.0905,0.0012727922061357827,0.0914,0.0887,0.0914,-0.01956666666666667,-0.092,0.11156666666666666,0.03913333333333333,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,2841,30df87679ddd892df4026617ebf7c051e788d4e65905bcbffd6191be7598b089,P18-College_03-N-LIVO-STRIDE-r1;P18-College_03-N-LIVO-STRIDE-r2;P18-College_03-N-LIVO-STRIDE-r3,P23-College_03-P-LIVO-STRIDE-r1;P23-College_03-P-LIVO-STRIDE-r2;P23-College_03-P-LIVO-STRIDE-r3,VALID_3_REPS,VALID_3_REPS
Palace_01,2,0.10313333333333333,0.000895668589502956,0.1035,0.1019,0.104,0.13076666666666667,0.00024944382578492424,0.1307,0.1305,0.1311,0.1549,0.0007483314773547974,0.1547,0.1541,0.1559,0.12836666666666668,0.0005906681715556452,0.128,0.1279,0.1292,0.05176666666666668,-0.0023999999999999855,0.027633333333333343,-0.026533333333333325,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,4021,b313f82875991a00193731dbf99d240b5c3db8cdf21e0e2ce24611fe05352986,P18-Palace_01-N-LIVO-STRIDE-r1;P18-Palace_01-N-LIVO-STRIDE-r2;P18-Palace_01-N-LIVO-STRIDE-r3,P23-Palace_01-P-LIVO-STRIDE-r1;P23-Palace_01-P-LIVO-STRIDE-r2;P23-Palace_01-P-LIVO-STRIDE-r3,VALID_3_REPS,VALID_3_REPS
Quarter_01,2,0.0472,0.0002943920288775947,0.0473,0.0468,0.0475,0.06493333333333333,0.0014522013940527962,0.0657,0.0629,0.0662,0.0662,0.0,0.0662,0.0662,0.0662,0.06653333333333333,0.0014383632673594263,0.0675,0.0645,0.0676,0.018999999999999996,0.0016000000000000042,0.01773333333333333,0.00033333333333333826,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,2873,4308c1d304108bf0ff767ac33bc467d3300deb479803233cce9030576f8d15fc,P18-Quarter_01-N-LIVO-STRIDE-r1;P18-Quarter_01-N-LIVO-STRIDE-r2;P18-Quarter_01-N-LIVO-STRIDE-r3,P23-Quarter_01-P-LIVO-STRIDE-r1;P23-Quarter_01-P-LIVO-STRIDE-r2;P23-Quarter_01-P-LIVO-STRIDE-r3,VALID_3_REPS,VALID_3_REPS
