family,sequence,arm,repetition,run_id,run_dir,source,status,config_profile_sha256,raw_config_sha256,shared_semantic_sha256,source_head,stride,camera_timestamp_count,camera_timestamp_sha256,ate_rmse_m,matched_count,trajectory_rows,backend_rejected,visual_calls,visual_commits,estimator_wall_s,estimator_cpu_s,offline_wall_s,peak_pss_mib,final_pss_mib,peak_uss_mib,final_uss_mib,config_identity,camera_identity
OXFORD,College_03,N-NTU,3,P18-College_03-N-LIVO-STRIDE-r3,results/prob_livo/runs/prompt18_n1_native_College_03_r3,N-NTU,VALID,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,87bd926073ed49c68ab330617e7ca52c0e0b0470ab2c63cdba89aac2312aca92,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,84757c4bbd4c74ef2791395a94f3df07cb9a5c1a,2,2841,30df87679ddd892df4026617ebf7c051e788d4e65905bcbffd6191be7598b089,0.0514,2838,2838.0,0.0,2839.0,2837.0,186.31295465299974,507.5057315799997,224.434,6018.9365234375,6018.9365234375,6016.20703125,6016.20703125,PASS,PASS
OXFORD,College_03,P-NTU,3,P23-College_03-P-LIVO-STRIDE-r3,results/prob_livo/prompt23/formal/P23-College_03-P-LIVO-STRIDE-r3,P-NTU,VALID,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,ac7fa339990182c0a688ed82b5ff179416271dad,2,2841,30df87679ddd892df4026617ebf7c051e788d4e65905bcbffd6191be7598b089,0.0887,2834,2834.0,0.0,2834.0,2832.0,124.84791129099986,314.12570557300035,167.556,5943.978515625,5943.978515625,5940.98828125,5940.98828125,PASS,PASS
OXFORD,Palace_01,N-NTU,1,P18-Palace_01-N-LIVO-STRIDE-r1,results/prob_livo/runs/prompt18_n1_native_Palace_01_r1,N-NTU,VALID,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,87bd926073ed49c68ab330617e7ca52c0e0b0470ab2c63cdba89aac2312aca92,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,84757c4bbd4c74ef2791395a94f3df07cb9a5c1a,2,4021,b313f82875991a00193731dbf99d240b5c3db8cdf21e0e2ce24611fe05352986,0.1541,4018,4018.0,0.0,4019.0,4017.0,232.62035513900003,621.4455244480031,285.892,8467.5361328125,8467.5361328125,8464.6484375,8464.6484375,PASS,PASS
OXFORD,Palace_01,P-NTU,1,P23-Palace_01-P-LIVO-STRIDE-r1,results/prob_livo/prompt23/formal/P23-Palace_01-P-LIVO-STRIDE-r1,P-NTU,VALID,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,ac7fa339990182c0a688ed82b5ff179416271dad,2,4021,b313f82875991a00193731dbf99d240b5c3db8cdf21e0e2ce24611fe05352986,0.1292,4014,4014.0,0.0,4014.0,4012.0,181.8857786880004,431.622398199999,240.339,7864.076171875,7864.076171875,7860.8984375,7860.8984375,PASS,PASS
OXFORD,Palace_01,N-NTU,2,P18-Palace_01-N-LIVO-STRIDE-r2,results/prob_livo/runs/prompt18_n1_native_Palace_01_r2,N-NTU,VALID,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,87bd926073ed49c68ab330617e7ca52c0e0b0470ab2c63cdba89aac2312aca92,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,84757c4bbd4c74ef2791395a94f3df07cb9a5c1a,2,4021,b313f82875991a00193731dbf99d240b5c3db8cdf21e0e2ce24611fe05352986,0.1547,4018,4018.0,0.0,4019.0,4017.0,229.41750780800007,614.1806551469966,282.769,8473.1279296875,8473.1279296875,8470.37109375,8470.37109375,PASS,PASS
OXFORD,Palace_01,P-NTU,2,P23-Palace_01-P-LIVO-STRIDE-r2,results/prob_livo/prompt23/formal/P23-Palace_01-P-LIVO-STRIDE-r2,P-NTU,VALID,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,ac7fa339990182c0a688ed82b5ff179416271dad,2,4021,b313f82875991a00193731dbf99d240b5c3db8cdf21e0e2ce24611fe05352986,0.128,4014,4014.0,0.0,4014.0,4011.0,181.51636662399997,431.0710336389985,238.937,7882.09375,7882.09375,7878.91015625,7878.91015625,PASS,PASS
OXFORD,Palace_01,N-NTU,3,P18-Palace_01-N-LIVO-STRIDE-r3,results/prob_livo/runs/prompt18_n1_native_Palace_01_r3,N-NTU,VALID,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,87bd926073ed49c68ab330617e7ca52c0e0b0470ab2c63cdba89aac2312aca92,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,84757c4bbd4c74ef2791395a94f3df07cb9a5c1a,2,4021,b313f82875991a00193731dbf99d240b5c3db8cdf21e0e2ce24611fe05352986,0.1559,4018,4018.0,0.0,4019.0,4017.0,229.601938586,616.3341069940002,282.981,8459.7958984375,8459.7958984375,8457.046875,8457.046875,PASS,PASS
OXFORD,Palace_01,P-NTU,3,P23-Palace_01-P-LIVO-STRIDE-r3,results/prob_livo/prompt23/formal/P23-Palace_01-P-LIVO-STRIDE-r3,P-NTU,VALID,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,ac7fa339990182c0a688ed82b5ff179416271dad,2,4021,b313f82875991a00193731dbf99d240b5c3db8cdf21e0e2ce24611fe05352986,0.1279,4014,4014.0,0.0,4014.0,4012.0,182.88226101699942,433.7879137649991,241.31,7889.109375,7889.109375,7885.921875,7885.921875,PASS,PASS
OXFORD,Quarter_01,N-NTU,1,P18-Quarter_01-N-LIVO-STRIDE-r1,results/prob_livo/runs/prompt18_n1_native_Quarter_01_r1,N-NTU,VALID,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,87bd926073ed49c68ab330617e7ca52c0e0b0470ab2c63cdba89aac2312aca92,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,84757c4bbd4c74ef2791395a94f3df07cb9a5c1a,2,2873,4308c1d304108bf0ff767ac33bc467d3300deb479803233cce9030576f8d15fc,0.0662,2870,2870.0,0.0,2871.0,2869.0,205.28092467999974,553.9760021710007,244.245,6597.3671875,6597.3671875,6594.5234375,6594.5234375,PASS,PASS
OXFORD,Quarter_01,P-NTU,1,P23-Quarter_01-P-LIVO-STRIDE-r1,results/prob_livo/prompt23/formal/P23-Quarter_01-P-LIVO-STRIDE-r1,P-NTU,VALID,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,ac7fa339990182c0a688ed82b5ff179416271dad,2,2873,4308c1d304108bf0ff767ac33bc467d3300deb479803233cce9030576f8d15fc,0.0645,2866,2866.0,0.0,2866.0,2864.0,130.65272902399994,340.44307088199974,174.579,6117.072265625,6117.072265625,6113.94140625,6113.94140625,PASS,PASS
OXFORD,Quarter_01,N-NTU,2,P18-Quarter_01-N-LIVO-STRIDE-r2,results/prob_livo/runs/prompt18_n1_native_Quarter_01_r2,N-NTU,VALID,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,87bd926073ed49c68ab330617e7ca52c0e0b0470ab2c63cdba89aac2312aca92,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,84757c4bbd4c74ef2791395a94f3df07cb9a5c1a,2,2873,4308c1d304108bf0ff767ac33bc467d3300deb479803233cce9030576f8d15fc,0.0662,2870,2870.0,0.0,2871.0,2869.0,212.82293356600007,578.1793402790009,252.06,6564.6015625,6564.6015625,6561.859375,6561.859375,PASS,PASS
OXFORD,Quarter_01,P-NTU,2,P23-Quarter_01-P-LIVO-STRIDE-r2,results/prob_livo/prompt23/formal/P23-Quarter_01-P-LIVO-STRIDE-r2,P-NTU,VALID,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,ac7fa339990182c0a688ed82b5ff179416271dad,2,2873,4308c1d304108bf0ff767ac33bc467d3300deb479803233cce9030576f8d15fc,0.0675,2866,2866.0,0.0,2866.0,2864.0,130.0356514920001,336.85104721399995,173.342,6063.6513671875,6063.6513671875,6060.4609375,6060.4609375,PASS,PASS
OXFORD,Quarter_01,N-NTU,3,P18-Quarter_01-N-LIVO-STRIDE-r3,results/prob_livo/runs/prompt18_n1_native_Quarter_01_r3,N-NTU,VALID,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,87bd926073ed49c68ab330617e7ca52c0e0b0470ab2c63cdba89aac2312aca92,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,84757c4bbd4c74ef2791395a94f3df07cb9a5c1a,2,2873,4308c1d304108bf0ff767ac33bc467d3300deb479803233cce9030576f8d15fc,0.0662,2870,2870.0,0.0,2871.0,2869.0,213.57072354800016,581.4473058289973,252.474,6559.712890625,6559.712890625,6556.8515625,6556.8515625,PASS,PASS
OXFORD,Quarter_01,P-NTU,3,P23-Quarter_01-P-LIVO-STRIDE-r3,results/prob_livo/prompt23/formal/P23-Quarter_01-P-LIVO-STRIDE-r3,P-NTU,VALID,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,ac7fa339990182c0a688ed82b5ff179416271dad,2,2873,4308c1d304108bf0ff767ac33bc467d3300deb479803233cce9030576f8d15fc,0.0676,2866,2866.0,0.0,2866.0,2864.0,128.98057309099994,334.75497770199934,172.516,6100.6611328125,6100.6611328125,6097.4609375,6097.4609375,PASS,PASS
